id,name,category,level,x,y,z,w,d,h,material,color,brand,power,note
OBJ-001,智能入户门锁,entry,1,0.15,1.8,1.0,0.08,0.3,0.3,锌合金+钢化玻璃,深空灰,小米/MI 智能门锁M30,4节AA电池/Type-C应急,入户门西侧，指纹/密码/NFC/钥匙
OBJ-002,用户专属拖鞋位,entry,1,1.2,2.4,0.0,0.4,0.35,0.08,棉麻拖鞋+实木鞋盘,米白+原木,无印良品同款,无,入户左手边固定位置
OBJ-003,门禁卡/钥匙盘,entry,1,0.8,2.0,0.85,0.25,0.12,0.04,陶瓷托盘+黄铜挂勾,奶白+金色,本地手作,无,入户门右侧墙面
OBJ-004,整墙鞋帽柜,entry,1,0.1,1.3,0.0,2.2,0.4,2.4,E0级多层实木贴皮,暖白+原木色开放格,索菲亚定制,柜内感应灯条(12V),北侧玄关墙整墙
OBJ-005,换鞋凳,entry,1,1.6,3.0,0.0,0.7,0.35,0.45,北美白蜡木+布艺坐垫,原木色+米色棉麻,源氏木语,无,鞋帽柜前方
OBJ-006,全身镜,entry,1,2.35,1.8,0.0,0.04,0.6,1.8,超白银镜+铝合金边框,香槟金,宜家NISSEDAL,镜前LED灯带(暖光3000K),玄关东侧墙
OBJ-007,智能家居中控屏,entry,1,2.2,1.4,1.4,0.2,0.03,0.28,玻璃+铝合金,黑色面板,Aqara 妙享屏S1,86底盒供电(零火线),玄关东墙总控
OBJ-008,入户地垫,entry,1,0.6,2.2,0.0,0.9,0.6,0.02,丙纶纤维+防滑底,几何灰,大达DADA,无,门内刮沙地垫
OBJ-009,玄关感应吸顶灯,entry,1,1.2,2.4,2.75,0.4,0.4,0.08,亚克力+铝材,白色,Yeelight 灵犀,24W 人体感应+光感,夜间入户自动点亮
OBJ-010,L型折返楼梯主体,stair,1,0.0,0.0,0.0,1.2,2.85,2.85,钢木楼梯（钢龙骨+橡木踏步）,白色钢骨+原木踏步,本地定制,踏步感应灯(12V低压),"贴西侧墙，上下口严格对位(0.4,2.8)"
OBJ-011,楼梯下储物高柜,stair,1,0.1,0.0,0.0,1.0,1.4,2.4,E0多层板+按压反弹门,暖白色,索菲亚定制,柜内感应灯,楼梯斜板下整合
OBJ-012,楼梯下设备柜,stair,1,0.1,1.4,0.0,1.0,0.6,1.8,金属网门+E0板材,灰色金属框+白色门板,定制,预留路由器/交换机电源,弱电/扫地机基站
OBJ-013,楼梯下挂衣区,stair,1,0.1,2.0,1.2,0.9,0.15,1.0,黄铜挂杆+实木挂钩,金色+原木,定制,无,用户外套常挂位
OBJ-014,用户常穿外套,stair,1,0.4,2.2,1.5,0.3,0.15,0.85,羊毛混纺,深灰/焦糖色,COS/UNIQLO,无,挂衣区最常用位置
OBJ-015,楼梯扶手,stair,1,0.0,0.0,0.9,1.2,2.85,0.05,黑碳钢拉丝+实木扶手面,黑色钢+胡桃木扶手,定制,无,靠墙侧设扶手
